id,original_language,original_title,Popularity,release_date,title,AVG Rating,Vote Count,Genre,release_year
297160,en,XX,7.806,2017-02-17,XX,4.9,222,['Horror'],2017
375742,pl,Córki dancingu,7.803,2017-02-01,The Lure,6.5,88,"['Horror', 'Fantasy', 'Other']",2017
451657,fr,Jusqu'à la garde,7.794,2017-10-18,Custody,7.5,263,['Drama'],2017
449503,en,Kill 'em All,7.791,2017-06-06,Kill 'em All,5.2,36,['Action'],2017
86828,en,Absolutely Anything,7.786,2015-09-04,Absolutely Anything,5.7,688,"['Comedy', 'Science Fiction']",2015
326285,en,American Pastoral,7.782,2016-10-21,American Pastoral,6.0,339,"['Crime', 'Drama']",2016
354287,en,War Machine,7.782,2017-05-26,War Machine,5.6,579,"['Comedy', 'Drama', 'Other']",2017
467675,fr,La Douleur,7.777,2017-08-17,Memoir of War,6.4,73,['Drama'],2017
383585,en,The Yellow Birds,7.757,2018-06-15,The Yellow Birds,6.2,50,"['Other', 'Drama']",2018
398588,en,Dismissed,7.73,2017-10-08,Dismissed,5.9,106,"['Thriller', 'Horror']",2017
396940,en,Super Dark Times,7.724,2017-09-29,Super Dark Times,6.5,250,"['Drama', 'Thriller']",2017
317091,en,November Criminals,7.714,2017-12-08,November Criminals,5.1,328,"['Crime', 'Drama', 'Other', 'Thriller']",2017
294795,en,The 9th Life of Louis Drax,7.702,2016-09-01,The 9th Life of Louis Drax,6.4,253,"['Fantasy', 'Other', 'Thriller', 'Drama']",2016
399790,en,Churchill,7.692,2017-06-02,Churchill,6.1,150,"['Drama', 'Thriller', 'Other']",2017
450322,en,The Man Who Invented Christmas,7.687,2017-11-22,The Man Who Invented Christmas,6.6,323,"['Drama', 'Other', 'Comedy']",2017
430161,es,El faro de las orcas,7.68,2017-04-07,The Lighthouse of the Orcas,7.1,94,"['Romance', 'Drama']",2017
336890,en,Goon: Last of the Enforcers,7.659,2017-09-01,Goon: Last of the Enforcers,5.7,138,['Comedy'],2017
359784,en,Maudie,7.658,2017-06-16,Maudie,7.7,125,"['Drama', 'Other', 'Romance']",2017
366170,ja,遊☆戯☆王 THE DARK SIDE OF DIMENSIONS,7.656,2017-01-27,Yu-Gi-Oh!: The Dark Side of Dimensions,6.7,75,"['Adventure', 'Animation']",2017
484886,en,Singularity,7.654,2017-11-24,Singularity,3.7,98,['Science Fiction'],2017
337844,en,In Dubious Battle,7.646,2017-02-17,In Dubious Battle,5.9,67,['Drama'],2017
461615,fr,Mutafukaz,7.643,2017-10-21,MFKZ,7.1,81,"['Science Fiction', 'Animation', 'Action', 'Crime']",2017
433941,en,Dave Made a Maze,7.643,2017-08-18,Dave Made a Maze,6.4,83,"['Comedy', 'Adventure', 'Horror']",2017
438634,ca,Estiu 1993,7.635,2017-10-06,Summer 1993,7.4,81,['Drama'],2017
476631,en,Barbie: Dolphin Magic,7.631,2017-09-18,Barbie: Dolphin Magic,6.5,65,"['Animation', 'Adventure', 'Family', 'Fantasy']",2017
390584,en,King Cobra,7.631,2016-10-21,King Cobra,5.9,274,"['Crime', 'Drama']",2016
412302,en,Gemini,7.62,2018-03-30,Gemini,5.6,59,"['Other', 'Crime', 'Drama', 'Thriller']",2018
333357,en,Stephanie,7.616,2017-04-27,Stephanie,5.6,87,"['Horror', 'Fantasy', 'Drama', 'Other']",2017
459202,en,Boo 2! A Madea Halloween,7.594,2017-10-20,Boo 2! A Madea Halloween,5.5,352,"['Horror', 'Comedy']",2017
429662,en,Viceroy's House,7.571,2017-09-01,Viceroy's House,6.7,146,"['Drama', 'Other']",2017
375867,en,Paris Can Wait,7.557,2017-05-12,Paris Can Wait,5.4,98,['Romance'],2017
352501,en,All Nighter,7.553,2017-03-17,All Nighter,5.7,100,['Comedy'],2017
353569,en,Table 19,7.551,2017-03-03,Table 19,6.0,604,"['Comedy', 'Drama']",2017
376134,en,The Discovery,7.542,2017-01-20,The Discovery,6.2,651,"['Drama', 'Romance', 'Science Fiction', 'Thriller', 'Other']",2017
413998,en,My Cousin Rachel,7.54,2017-06-09,My Cousin Rachel,5.5,335,"['Drama', 'Romance']",2017
413992,en,Sweet Virginia,7.531,2017-11-17,Sweet Virginia,6.0,116,"['Drama', 'Thriller']",2017
362585,ja,傷物語〈Ⅲ冷血篇〉,7.53,2017-04-07,Kizumonogatari Part 3: Reiketsu,8.5,34,"['Animation', 'Fantasy', 'Other']",2017
301355,en,Message from the King,7.528,2017-08-04,Message from the King,6.3,197,['Thriller'],2017
467062,en,Spielberg,7.513,2017-10-05,Spielberg,7.6,109,"['Other', 'Other']",2017
336011,en,White Girl,7.499,2016-09-02,White Girl,5.6,221,['Drama'],2016
414770,ja,アンチポルノ,7.456,2017-12-29,Antiporno,6.7,67,['Drama'],2017
426284,ja,無限の住人,7.451,2017-11-03,Blade of the Immortal,6.5,194,"['Action', 'Drama']",2017
295693,en,The Boss Baby,7.445,2017-03-31,The Boss Baby,6.4,4314,"['Animation', 'Comedy', 'Family']",2017
469019,en,Jim & Andy: The Great Beyond,7.442,2017-11-11,Jim & Andy: The Great Beyond,7.6,304,['Other'],2017
388202,en,Arsenal,7.436,2017-01-06,Arsenal,4.6,63,"['Action', 'Crime', 'Thriller']",2017
369524,en,The Comedian,7.433,2016-12-09,The Comedian,5.6,68,['Comedy'],2016
472054,en,Lazer Team 2,7.422,2017-11-13,Lazer Team 2,6.4,12,"['Science Fiction', 'Action', 'Adventure', 'Comedy']",2017
443319,en,Phoenix Forgotten,7.412,2017-04-21,Phoenix Forgotten,5.6,134,"['Horror', 'Other', 'Science Fiction']",2017
422615,en,The Clapper,7.405,2018-01-26,The Clapper,5.0,104,['Comedy'],2018
367462,en,68 Kill,7.385,2017-03-11,68 Kill,5.0,50,"['Comedy', 'Crime']",2017
473072,en,2036: Nexus Dawn,7.381,2017-08-29,2036: Nexus Dawn,7.1,147,"['Science Fiction', 'Thriller']",2017
362058,ru,Снежная королева 3. Огонь и лед,7.375,2017-08-31,The Snow Queen 3: Fire and Ice,7.5,14,"['Family', 'Animation', 'Fantasy', 'Comedy']",2017
375355,en,Don't Hang Up,7.358,2017-02-10,Don't Hang Up,5.7,208,"['Horror', 'Thriller']",2017
432602,en,An Inconvenient Sequel: Truth to Power,7.357,2017-07-28,An Inconvenient Sequel: Truth to Power,7.0,75,['Other'],2017
